File Name,Depth, Hegazy Vs, Andrus-H Vs,Andrus-P Vs, Rob Vs, Mc15 Vs,  Mc18 Vs
SCPT_195188_Raw01,8.27,276.79,143.75,175,172.35,132.64,324.91
SCPT_195188_Raw01,8.29,274.01,143.92,175.21,172.04,132.78,324.49
SCPT_195188_Raw01,8.31,271.66,143.55,174.75,171.26,132.61,324.25
SCPT_195188_Raw01,8.33,268.97,143.01,174.1,170.29,132.33,323.87
SCPT_195188_Raw01,8.35,264.35,142.18,173.09,168.75,131.84,322.98
SCPT_195188_Raw01,8.37,260.67,141.8,172.63,167.79,131.58,322.15
SCPT_195188_Raw01,8.39,253.28,140.55,171.1,165.44,130.77,320.35
SCPT_195188_Raw01,8.41,250.44,140.76,171.36,165.16,130.85,319.63
SCPT_195188_Raw01,8.43,246.9,140.27,170.77,164.09,130.54,318.84
SCPT_195188_Raw01,8.45,243.48,139.61,169.96,162.88,130.18,318.24
SCPT_195188_Raw01,8.47,242.17,139.31,169.59,162.31,129.91,317.9
SCPT_195188_Raw01,8.49,239.57,138.11,168.13,160.69,129.05,317.21
