Depth,Qc,Fc,u
5.00002,0.2283,0.0018,0.116
5.01002,0.2341,0.0019,0.1179
5.02002,0.2341,0.0019,0.1179
5.03002,0.236,0.0019,0.1273
5.04002,0.238,0.002,0.1273
5.050021,0.2457,0.002,0.124
5.060021,0.2535,0.002,0.1192
5.070021,0.2535,0.0021,0.1143
5.080021,0.2574,0.0021,0.1143
5.090022,0.2612,0.0021,0.1065
5.100022,0.2632,0.0021,0.1071
5.110022,0.2651,0.0022,0.1059
5.120022,0.2651,0.0022,0.106
5.130023,0.2651,0.0022,0.106
5.140023,0.2651,0.0022,0.1065
5.150023,0.2651,0.0022,0.1065
5.160023,0.2632,0.0021,0.1093
5.170023,0.2612,0.0021,0.1092
5.180024,0.2612,0.0021,0.1096
5.190024,0.2574,0.0021,0.1101
5.200024,0.2574,0.0021,0.116
5.210024,0.2554,0.0021,0.1219
5.220025,0.2545,0.0021,0.1294
5.230025,0.2535,0.002,0.1332
5.240025,0.2535,0.002,0.1332
5.250025,0.2496,0.002,0.1351
5.260026,0.2496,0.002,0.1351
5.270026,0.2457,0.002,0.1393
5.280026,0.2419,0.0019,0.1365
5.290026,0.2341,0.0019,0.1364
5.300026,0.238,0.0019,0.1372
5.310027,0.2302,0.0019,0.1379
5.320027,0.2297,0.0019,0.1416
5.330027,0.2295,0.0019,0.1416
5.340027,0.2318,0.0024,0.1416
5.350028,0.2341,0.0024,0.1416
5.360028,0.2496,0.0026,0.141
5.370028,0.269,0.0026,0.1317
5.380028,0.2845,0.0029,0.1176
5.390028,0.3,0.0029,0.1029
5.400029,0.3039,0.0028,0.0975
5.410029,0.3039,0.0025,0.0975
5.420029,0.3078,0.0025,0.0962
5.430029,0.3078,0.0025,0.0973
5.44003,0.3194,0.0025,0.0985
5.45003,0.3194,0.0025,0.1013
5.46003,0.3426,0.0025,0.1071
5.47003,0.3581,0.0028,0.0992
5.480031,0.3814,0.0028,0.0937
5.490031,0.3736,0.0028,0.0946
5.500031,0.3785,0.0028,0.0897
5.510031,0.3833,0.0028,0.0935
5.520031,0.4008,0.0027,0.0832
5.530032,0.4008,0.0027,0.0826
5.540032,0.4008,0.0027,0.0847
5.550032,0.3717,0.0027,0.0868
5.560032,0.3426,0.0027,0.0912
5.570033,0.3426,0.0027,0.0912
5.580033,0.3388,0.0026,0.0929
5.590033,0.3349,0.0024,0.0946
5.600033,0.331,0.0023,0.0987
5.610034,0.3293,0.0022,0.1023
5.620034,0.3296,0.0022,0.1055
5.630034,0.3299,0.0022,0.1055
5.640034,0.331,0.0022,0.1058
5.650034,0.331,0.0021,0.1061
5.660035,0.3252,0.002,0.108
5.670035,0.3242,0.0019,0.1132
5.680035,0.3233,0.0019,0.1124
5.690035,0.3194,0.0018,0.1111
5.700036,0.3039,0.0018,0.1101
5.710036,0.3,0.0018,0.1099
5.720036,0.2961,0.0018,0.1108
5.730036,0.2961,0.0018,0.1116
5.740036,0.2884,0.0018,0.1158
5.750037,0.2883,0.0018,0.124
5.760037,0.2883,0.0018,0.1311
5.770037,0.2884,0.0018,0.1376
5.780037,0.2922,0.0018,0.1376
5.790038,0.2903,0.0018,0.138
5.800038,0.2884,0.0018,0.1383
5.810038,0.2884,0.0019,0.1393
5.820038,0.2845,0.0019,0.1416
5.830039,0.2844,0.0019,0.1416
5.840039,0.2844,0.0021,0.1453
5.850039,0.2845,0.0021,0.1491
5.860039,0.2884,0.0022,0.1561
5.870039,0.2884,0.0022,0.1605
5.88004,0.3,0.0023,0.1645
5.89004,0.2961,0.0023,0.168
5.90004,0.3078,0.0024,0.151
5.91004,0.3078,0.0024,0.151
5.920041,0.3035,0.003,0.1495
5.930041,0.3021,0.0032,0.1481
5.940041,0.3031,0.0033,0.1513
5.950041,0.3041,0.0033,0.1466
5.960042,0.3116,0.0034,0.1418
5.970042,0.331,0.0035,0.1386
5.980042,0.3543,0.0035,0.1265
5.990042,0.3543,0.0035,0.1265
6.000042,0.4085,0.0034,0.1183
6.010043,0.4318,0.0033,0.1101
6.020043,0.4318,0.0033,0.1101
6.030043,0.455,0.0028,0.0998
6.040043,0.4744,0.0027,0.0945
6.050044,0.4822,0.0027,0.0934
6.060044,0.4822,0.0026,0.0929
6.070044,0.4822,0.0026,0.0933
6.080044,0.4202,0.0026,0.0937
6.090044,0.4047,0.0026,0.095
6.100045,0.4076,0.0026,0.099
6.110045,0.4106,0.0027,0.1074
6.120045,0.4172,0.0027,0.1074
6.130045,0.4512,0.0027,0.1137
6.140046,0.5132,0.0028,0.0925
6.150046,0.5558,0.0029,0.0868
6.160046,0.5597,0.003,0.0852
6.170046,0.5132,0.0032,0.0836
6.180047,0.5132,0.0032,0.0836
6.190047,0.4938,0.0032,0.0837
6.200047,0.4705,0.0033,0.0838
6.210047,0.4705,0.0034,0.0842
6.220047,0.4318,0.0036,0.087
6.230048,0.4249,0.0036,0.0872
6.240048,0.4262,0.0038,0.0867
6.250048,0.4274,0.0042,0.0868
6.260048,0.4579,0.0042,0.087
6.270049,0.5209,0.005,0.0967
6.280049,0.5752,0.0054,0.0901
6.290049,0.5752,0.0056,0.0868
6.300049,0.6566,0.0058,0.087
6.31005,0.6566,0.0058,0.0872
6.32005,0.6798,0.0058,0.0893
6.33005,0.6721,0.0057,0.0877
6.34005,0.6721,0.0057,0.0874
6.35005,0.6459,0.0055,0.0873
6.360051,0.6473,0.0053,0.0885
6.370051,0.6487,0.0053,0.0897
6.380051,0.6527,0.0048,0.0922
6.390051,0.6527,0.0046,0.0922
6.400052,0.6992,0.0046,0.0895
6.410052,0.7612,0.0047,0.0817
6.420052,0.8155,0.005,0.0779
6.430052,0.8504,0.0056,0.077
6.440053,0.8349,0.0058,0.0797
6.450053,0.8349,0.0058,0.0825
6.460053,0.7264,0.0058,0.0883
6.470053,0.6527,0.0058,0.0971
6.480053,0.6527,0.0057,0.0971
6.490054,0.5946,0.0054,0.1009
6.500054,0.5287,0.0045,0.1051
6.510054,0.4589,0.0039,0.0736
6.520054,0.4444,0.0037,0.0727
6.530055,0.44,0.0037,0.0722
6.540055,0.4357,0.0035,0.072
6.550055,0.4357,0.0035,0.0798
6.560055,0.3736,0.0034,0.0876
6.570055,0.3349,0.0035,0.1076
6.580056,0.3292,0.0035,0.1332
6.590056,0.3303,0.0036,0.1462
6.600056,0.3315,0.004,0.1561
6.610056,0.3514,0.004,0.1561
6.620057,0.393,0.0049,0.1529
6.630057,0.486,0.0059,0.1504
6.640057,0.6333,0.0066,0.1281
6.650057,0.7922,0.0068,0.088
6.660058,0.7922,0.007,0.088
6.670058,0.9822,0.0074,0.0769
6.680058,1.2496,0.0078,0.0727
6.690058,1.2496,0.0078,0.0727
6.700058,2.0287,0.0083,0.0353
6.710059,2.4899,0.0092,0.0219
6.720059,2.9357,0.0092,0.0042
6.730059,3.3426,0.0123,0.0024
6.740059,3.707,0.0135,0.0034
6.75006,3.986,0.014,0.0045
6.76006,4.1488,0.0146,0.007
6.77006,4.1488,0.0154,0.007
6.78006,4.2651,0.0154,0.0097
