Depth,Qc,Fc,u
4.43,0.215,0.0085,-0.0414
4.44,0.215,0.0085,-0.0406
4.45,0.215,0.0085,-0.0402
4.46,0.219,0.0084,-0.04
4.47,0.271,0.008,-0.0249
4.48,0.323,0.0079,-0.0249
4.49,0.308,0.0073,-0.0245
4.5,0.308,0.0069,-0.0248
4.51,0.3,0.0066,-0.0248
4.52,0.281,0.0066,-0.0248
4.53,0.261,0.0056,-0.0248
4.54,0.238,0.0055,-0.0247
4.55,0.233,0.0053,-0.0245
4.56,0.235,0.0051,-0.0243
4.57,0.237,0.005,-0.0241
4.58,0.242,0.0046,-0.0238
4.59,0.235,0.004,-0.0238
4.6,0.215,0.0037,-0.0234
4.61,0.219,0.0035,-0.0232
4.62,0.211,0.0035,-0.0232
4.63,0.211,0.0033,-0.023
4.64,0.208,0.0032,-0.0228
4.65,0.204,0.0031,-0.0226
4.66,0.2,0.003,-0.0226
4.67,0.196,0.0029,-0.0222
4.68,0.188,0.0029,-0.022
4.69,0.187,0.0028,-0.0218
4.7,0.188,0.0028,-0.0218
4.71,0.188,0.0025,-0.0216
4.72,0.194,0.0024,-0.0214
4.73,0.208,0.0023,-0.0212
4.74,0.192,0.0023,-0.0211
4.75,0.192,0.0019,-0.0209
4.76,0.186,0.0016,-0.0207
4.77,0.185,0.0015,-0.0205
4.78,0.185,0.0015,-0.0205
4.79,0.185,0.0015,-0.0203
4.8,0.185,0.0015,-0.0201
4.81,0.185,0.0015,-0.0199
4.82,0.186,0.0015,-0.0195
4.83,0.186,0.0015,-0.0193
4.84,0.188,0.0015,-0.0191
4.85,0.192,0.0015,-0.0189
4.86,0.196,0.0014,-0.0189
4.87,0.196,0.0014,-0.0187
4.88,0.196,0.0014,-0.0183
4.89,0.196,0.0014,-0.0181
4.9,0.196,0.0014,-0.018
4.91,0.196,0.0014,-0.0178
4.92,0.196,0.0012,-0.0176
4.93,0.192,0.0009,-0.0176
4.94,0.188,0.0007,-0.0174
4.95,0.185,0.0006,-0.0172
4.96,0.185,0.0004,-0.017
4.97,0.181,0.0003,-0.0166
4.98,0.179,0.0002,-0.0164
4.99,0.178,0.0002,-0.0162
5,0.177,0.0001,-0.016
5.01,0.177,0,-0.0156
5.02,0.176,-0.0001,-0.0154
5.03,0.176,-0.0001,-0.0152
5.04,0.176,-0.0002,-0.0151
5.05,0.177,-0.0003,-0.0147
5.06,0.177,-0.0003,-0.0145
5.07,0.181,-0.0003,-0.0143
5.08,0.185,-0.0003,-0.0141
5.09,0.185,-0.0003,-0.0135
5.1,0.186,-0.0003,-0.0135
5.11,0.188,-0.0003,-0.0133
5.12,0.196,-0.0001,-0.0129
5.13,0.2,0.0001,-0.0125
5.14,0.204,0.0001,-0.0121
5.15,0.208,0.0003,-0.0121
5.16,0.238,0.0005,-0.0011
5.17,0.242,0.0006,-0.0009
5.18,0.242,0.0006,-0.0005
5.19,0.246,0.0006,-0.0001
5.2,0.246,0.0006,0.0002
5.21,0.25,0.0006,0.0004
5.22,0.254,0.0006,0.0006
5.23,0.254,0.0006,0.0008
5.24,0.25,0.0005,0.0012
5.25,0.246,0.0004,0.0012
5.26,0.242,0.0001,0.0014
5.27,0.231,-0.0001,0.0016
5.28,0.223,-0.0001,0.0018
5.29,0.219,-0.0002,0.002
5.3,0.215,-0.0004,0.0022
5.31,0.208,-0.0006,0.0024
5.32,0.2,-0.0006,0.0026
5.33,0.199,-0.0007,0.0028
5.34,0.199,-0.0007,0.0028
5.35,0.199,-0.0007,0.003
5.36,0.2,-0.0007,0.0031
5.37,0.2,-0.0008,0.0033
5.38,0.204,-0.0008,0.0035
5.39,0.204,-0.0008,0.0037
5.4,0.208,-0.0008,0.0039
5.41,0.211,-0.0007,0.0041
5.42,0.215,-0.0003,0.0043
5.43,0.235,0.0002,0.0045
5.44,0.246,0.0009,0.0051
5.45,0.277,0.0018,0.0057
5.46,0.338,0.002,0.006
5.47,0.411,0.002,0.0062
5.48,0.434,0.0021,0.0064
5.49,0.442,0.0024,0.006
5.5,0.431,0.0026,0.0059
5.51,0.404,0.0027,0.0058
5.52,0.403,0.0026,0.0058
5.53,0.404,0.0026,0.0059
5.54,0.404,0.0025,0.0062
5.55,0.427,0.0023,0.0068
5.56,0.45,0.002,0.0072
5.57,0.45,0.0018,0.0072
5.58,0.442,0.0017,0.0074
5.59,0.4,0.0017,0.0074
5.6,0.381,0.0016,0.0076
5.61,0.361,0.0016,0.008
5.62,0.359,0.0016,0.0084
5.63,0.359,0.0016,0.0086
5.64,0.358,0.0017,0.0088
5.65,0.358,0.0019,0.0091
5.66,0.361,0.0025,0.0095
5.67,0.354,0.0028,0.0097
5.68,0.354,0.0032,0.0101
5.69,0.354,0.0039,0.0103
5.7,0.354,0.0048,0.0105
5.71,0.361,0.0054,0.0109
5.72,0.365,0.0067,0.0113
5.73,0.377,0.0074,0.0119
5.74,0.381,0.0082,0.012
5.75,0.381,0.0092,0.0122
5.76,0.379,0.0103,0.0124
