File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_126232.csv,6.5,184.3,6.5,6.1557,0.0362,0.0209,0.049292636,-0.147417658,-0.056242979,0.229542026,-0.428682091
SCPT_126232.csv,7,210.8,7,9.7545,0.0374,0.022,0.125981055,-0.070729239,0.059556652,0.274287767,-0.320732554
SCPT_126232.csv,7.5,210.8,7.5,5.3276,0.0114,0.0209,0.281943468,0.085233174,0.256249714,0.440811721,-0.179264569
SCPT_126232.csv,8,149.3,8,3.861,0.0142,-0.0074,-0.044486058,-0.241196353,-0.08289668,0.106053073,-0.566714034
SCPT_126232.csv,8.5,149.3,8.5,1.4463,0.0163,-0.0205,0.101112915,-0.09559738,-0.004821874,0.219147948,-0.592715881
SCPT_126232.csv,9,139.2,9,0.7072,0.0074,0.2041,0.244757854,0.04804756,0.196244691,0.301780665,-0.56926952
SCPT_126232.csv,9.5,139.2,9.5,0.4945,0.0036,0.2454,0.372224874,0.17551458,0.432024521,0.398073664,-0.486630056
SCPT_126232.csv,10,120.2,10,0.4905,0.0027,0.2492,0.235242544,0.03853225,0.339743126,0.262106564,-0.608903214
SCPT_126232.csv,10.5,120.2,10.5,0.4924,0.0027,0.2871,0.234979559,0.038269264,0.37049612,0.247986178,-0.621275735
SCPT_126232.csv,11,135.5,11,0.4905,0.0019,0.2769,0.362697102,0.165986808,0.540403115,0.384590977,-0.467520346
SCPT_126232.csv,11.5,135.5,11.5,0.5872,0.0038,0.2354,0.272799855,0.076089561,0.394930861,0.288790783,-0.570207333
SCPT_126232.csv,12,159.2,12,0.773,0.0029,0.224,0.372705695,0.1759954,0.496809561,0.420995386,-0.3866819
SCPT_126232.csv,12.5,159.2,12.5,0.7724,0.0048,0.2357,0.345027189,0.148316895,0.460885434,0.367934557,-0.462511792
SCPT_126232.csv,13,134.9,13,0.5679,0.0038,0.3266,0.275719193,0.079008899,0.486255715,0.255081959,-0.605416288
SCPT_126232.csv,13.5,134.9,13.5,1.0555,0.016,0.1878,0.021202326,-0.175507968,0.072612366,0.036015641,-0.806437688
SCPT_126232.csv,14,130.1,14,1.0593,0.0178,0.2148,-0.02573292,-0.222443215,0.037600126,-0.019691046,-0.865754939
SCPT_126232.csv,14.5,130.1,14.5,1.4385,0.0143,0.2361,-0.078068619,-0.274778913,0.01162381,-0.055337436,-0.848435328
SCPT_126232.csv,15,162.5,15,1.9648,0.0136,0.176,0.080452554,-0.116257741,0.182405745,0.116880602,-0.63042038
SCPT_126232.csv,15.5,162.5,15.5,0.7691,0.0089,0.428,0.326422158,0.129711864,0.548485937,0.278019731,-0.576653155
SCPT_126232.csv,16,207.4,16,1.0748,0.0085,0.308,0.477305559,0.280595265,0.661886855,0.468789333,-0.337212767
SCPT_126232.csv,16.5,207.4,16.5,2.166,0.0259,-0.0292,0.237449701,0.040739407,0.33213427,0.266850489,-0.495026513
SCPT_126232.csv,17,174.5,17,1.2412,0.0054,0.428,0.299849336,0.103139042,0.526236197,0.296137568,-0.467363799
SCPT_126232.csv,17.5,174.5,17.5,0.9084,0.0114,0.3916,0.321291315,0.124581021,0.568150914,0.271009711,-0.569525615
SCPT_126232.csv,18,217.6,18,0.9819,0.0041,0.5593,0.593632088,0.396921794,0.904880204,0.557586099,-0.223553398
SCPT_126232.csv,18.5,217.6,18.5,1.4347,0.007,0.4436,0.464898582,0.268188287,0.702136926,0.450962654,-0.302831591
SCPT_126232.csv,19,221.8,19,0.9316,0.0024,0.5278,0.639717066,0.443006772,1.007658411,0.613693359,-0.148108339
SCPT_126232.csv,19.5,221.8,19.5,1.4618,0.0067,0.5547,0.482461868,0.285751574,0.744181383,0.456386232,-0.291477029
SCPT_126232.csv,20,209.3,20,7.3359,0.2376,0.4948,-0.200877947,-0.397588241,-0.184133251,-0.137131555,-0.831729444
SCPT_126232.csv,20.5,209.3,20.5,1.6707,0.0365,0.425,0.261124801,0.064414507,0.443345107,0.22453922,-0.583502175
SCPT_126232.csv,21,342,21,6.1789,0.0576,0.1834,0.473830459,0.277120165,0.585831434,0.482679504,-0.16754253
SCPT_126232.csv,21.5,342,21.5,6.7729,0.1955,0.8557,0.322266068,0.125555773,0.382726658,0.361491258,-0.333039901
SCPT_126232.csv,22,405,22,5.8074,0.0869,1.1182,0.61225895,0.415548656,0.730395479,0.613619776,-0.063237521
SCPT_126232.csv,22.5,405,22.5,7.7152,0.1972,0.7102,0.462020424,0.26531013,0.536976247,0.498452549,-0.177555046
SCPT_126232.csv,23,219.6,23,8.1756,0.1947,0.5479,-0.161654144,-0.358364438,-0.079530701,-0.127024472,-0.793965375
SCPT_126232.csv,23.5,219.6,23.5,6.4696,0.1941,1.1171,-0.119905343,-0.316615637,-0.019063861,-0.099045289,-0.797273315
SCPT_126232.csv,24,265.7,24,7.2237,0.1163,1.2282,0.113504543,-0.083205752,0.241597102,0.11229821,-0.546269501
SCPT_126232.csv,24.5,265.7,24.5,5.5397,0.2669,1.5758,0.063672872,-0.133037422,0.1727013,0.075839345,-0.657513151
SCPT_126232.csv,25,265.7,25,7.4382,0.2186,1.143,0.025140619,-0.171569675,0.141009959,0.044357173,-0.638853168
