NZTM_X NZTM_Y Vs30
1751737.96 5917265.01 170.99
1873933.62 5819451.98 171.04
1761371.2 5907452.31 171.06
1873805.95 5816741.15 171.07
1897426.91 5814361.82 171.1
1884992.17 5823226.53 171.25
1746850.62 5926443.15 171.29
1762248.61 5431392.3 171.32
1728115.51 5941567.12 171.33
1884295.06 5824714.82 171.36
1763562.74 5908126.47 171.41
1891494.55 5820097.52 171.53
1762391 5906374 171.54
1882481.13 5775887.35 171.72
1873839.8 5818899.63 171.72
1879653 5825003 171.73
1872249 5816327 171.82
1793182 5834968 171.85
1790592.79 5764013.5 171.89
1873308.6 5819983 171.89
1763260 5908776 171.91
1891397.64 5814787.72 171.91
1882634.78 5775355 171.94
1883894.86 5824436.46 172.07
1862080 5828855 172.08
1700013.42 5678524.33 172.24
1744891.89 5916979.18 172.26
1909240.53 5808735.06 172.36
1804951.25 5789722.12 172.38
1885971.14 5823566.38 172.38
1758343 5907255 172.44
1789025 5828423 172.47
1873823.58 5818850.48 172.48
1756649.71 5921535.75 172.52
1873833.58 5818867.62 172.55
1751548.16 5950432.34 172.6
1889497.25 5820607.44 172.68
1897642.71 5814021.86 172.72
1804207.06 5815206.21 172.73
1756834.4 5921692.1 172.75
1746929 5920309 172.75
1801574.28 5812295.08 172.82
1748603.43 5925281.87 172.84
1873849.66 5818923.69 172.84
1736675.01 5929832.54 172.87
1880069.19 5773993.34 172.87
1875968 5825158.35 172.88
1747365.8 5926560.07 172.93
1795981 5818145 173.04
1873864.47 5818895.82 173.1
1879714.63 5823415.16 173.11
1873707.58 5818366.67 173.13
1982055.88 5670464.93 173.14
1765881 5908697 173.16
1799323.71 5817134.61 173.16
1762379 5906325 173.21
1932053.73 5620097.95 173.26
1884688.07 5823784.8 173.3
1882974.85 5775541.94 173.34
1800584.21 5814460.65 173.36
1762359 5906346 173.4
1801592.77 5807546.88 173.41
1928360.33 5606565.37 173.41
1881191.62 5826228.61 173.42
1792955 5834915 173.49
1762176.88 5907714.86 173.51
1700048.22 5678497.36 173.57
1769719.71 5914367.49 173.57
2036946.51 5710304.8 173.59
1935339.44 5612891.35 173.6
1772993.07 5891421.59 173.66
1890256.91 5820962.64 173.67
1744972.31 5918563.99 173.76
1747690.18 5921904.6 173.76
1729053.08 5941827.29 173.8
1896167.53 5816099.15 173.83
1757386.6 5926873.02 173.85
1766536 5916845 173.89
1765597.46 5907076.26 173.9
1747378.69 5926573.04 173.97
1772804.93 5892378.25 174.05
1935293.31 5613272.71 174.09
1747369.63 5926574.29 174.1
1873880.59 5816421.88 174.15
1867731.87 5828330.77 174.17
1773012.66 5890924.45 174.17
1761256.24 5907439.29 174.2
1774707.77 5578401.72 174.24
1764964.89 5905869.68 174.24
1744054.19 5927013.96 174.27
1762245 5906379 174.28
1761730.72 5907421.31 174.29
1884382.35 5824518.2 174.31
1891214.29 5814591.11 174.31
1935258.89 5618663.74 174.37
1756944.4 5918700 174.4
1746928.06 5920262.78 174.42
1869416.99 5827450.26 174.44
1745788.2 5925576.57 174.5
1765892 5906369 174.55
2038882.97 5707913.95 174.62
1769376.77 5911513.88 174.62
1762311 5906426 174.64
1799338 5823319 174.65
1747530.38 5948656.31 174.71
1765577.32 5907084.75 174.75
1870817 5823006 174.76
1862086 5828856 174.77
1835820 5863051 174.77
1884467.95 5824370.69 174.8
1746927 5920290 174.8
1765299 5907412 174.84
1799511 5823365 174.89
1793099.03 5835223.63 174.91
1772796.66 5892480.15 174.91
1876090.49 5823689.43 174.91
1895611.8 5817112.61 174.95
1876778.19 5820407.5 175.05
1764968.02 5905883.94 175.1
1745007.15 5918541.53 175.15
1867624.34 5828008.39 175.16
1890817.08 5814278.81 175.17
1885502.23 5823607.71 175.17
1746883.5 5926460.56 175.31
1755235.44 5929138.29 175.38
1765819 5908599 175.38
1879309.77 5824341.15 175.38
1932463.21 5617898.36 175.4
1800599.53 5814465.57 175.41
1744296.5 5925657.75 175.46
1790075 5830684 175.46
1756771.27 5921618.06 175.48
1804229.81 5815209.94 175.5
1762438 5907512 175.51
1798481.46 5813673.04 175.51
1891499.79 5820203.87 175.52
1857323.52 5840616.37 175.55
1879473.12 5824826.13 175.58
1879483.44 5824807.33 175.58
1766032.81 5914999.82 175.59
1744029 5918290 175.69
1744034.47 5918311.27 175.69
1762497 5907622 175.7
1876955.39 5823640.06 175.71
1745048.75 5918539.49 175.74
1889529.97 5820787.32 175.76
1623649.05 6113861.3 175.79
1773224 5892452 175.8
1756745.61 5921596.9 175.88
1875586.63 5820086.49 175.89
1795578.84 5819096.59 175.93
1750916.73 5914102.06 175.99
1772965.1 5891638.94 176.01
1763523.68 5908101.03 176.08
1885968.57 5823518.61 176.08
1717527.31 6051799.81 176.1
1762220.12 5431449.14 176.1
1762075 5906491 176.11
1884422.38 5824600.27 176.12
1701199.87 5678274.84 176.12
1757407.38 5926800.15 176.26
1891503.57 5813238.8 176.26
1804196.72 5815224.82 176.29
1766196 5908056 176.29
1802456.63 5821078.46 176.29
1763642.9 5907760.95 176.3
1973697.24 5783396.2 176.33
1765610.73 5907076.55 176.34
1755762.81 5925946.71 176.35
1764819.88 5905694.29 176.36
1765848 5906363 176.4
1882313.78 5819267.06 176.41
1935231.19 5618727.72 176.41
1761319.56 5907453.3 176.41
1772014.21 5889703.81 176.44
1762314 5906346 176.44
1887634.88 5822617.24 176.51
1759971.23 5908079.17 176.53
2059739.8 5753529.54 176.59
1730331.9 5939675.18 176.62
1873522.06 5821616.13 176.63
1730505.35 6016403.21 176.68
1816292.1 5805893.9 176.74
1756627.94 5921554.95 176.76
1755201.19 5929096.07 176.85
1804225 5818158 176.87
1799560 5823367 176.9
1765621.35 5907050.15 176.9
1891228.47 5814642.22 176.94
1766493.38 5912864.78 177.05
1934361.08 5608797.43 177.07
1764793.52 5905749.19 177.1
1744982.58 5918554.82 177.12
1804257.97 5815269.67 177.12
1748371.61 5926849.99 177.18
1799452.83 5823542.21 177.19
1772077.92 5889920.81 177.2
1764910.6 5905702.52 177.21
1875973.09 5825099.18 177.26
1754713.03 5912707.64 177.29
1796871.53 5816431.21 177.32
1889688.81 5820585.48 177.4
1884447.37 5824366.54 177.41
1804238.81 5815274.49 177.41
1758181.99 5927074.29 177.44
1789575 5840087 177.46
1762218.78 5906351.99 177.5
1889512.17 5820523.14 177.53
1889744.85 5817857.2 177.56
1745150.46 5914036.82 177.58
1861467.69 5853102.75 177.59
1882520.62 5776024.58 177.59
1981914.04 5677773.48 177.64
1874310.4 5821337.43 177.7
1763541.7 5908134.86 177.75
1762173.98 5431417.51 177.76
1981898.91 5677839.55 177.77
1783533.12 5869002.58 177.81
1764757 5910619 177.84
1766573.61 5913165.26 177.85
1804158.2 5815241.41 177.91
2035114.59 5709259.3 178.08
1982097.29 5670484.62 178.17
1804164.1 5815268.2 178.21
1781346.8 5903727.86 178.24
1756940 5918834.3 178.26
1982492.56 5670340.52 178.28
1878112.3 5821301.2 178.33
1691296.36 5674926.96 178.37
1730481.22 6016260.98 178.38
1771525.63 5895238.08 178.38
1887601.53 5773483.6 178.4
1748393.06 5926844.13 178.42
1798361.62 5813954.28 178.43
1747255 5926681 178.51
1689711.87 5674849.45 178.53
1889693.43 5820447.83 178.53
1884259.75 5785175.45 178.55
1790020 5830609 178.55
1877540 5821849 178.56
1773044.45 5891049.65 178.61
1880057.04 5773798.95 178.64
2034480.29 5711091.21 178.65
1773473 5896436 178.69
1879465.63 5824712.43 178.71
1882638.06 5775373.77 178.77
1878023.79 5825380.36 178.8
1757403.28 5926843.64 178.82
1759675.7 5908334.35 178.85
1787724 5819223 178.86
1887848.2 5774078.77 178.87
1762185.3 5907754.65 178.93
1932440.76 5617776.96 179.06
1788438 5851523 179.08
1802904.31 5791494.24 179.09
1930972.79 5605100.52 179.14
1747575 5918983 179.15
1795762.33 5819636.67 179.17
1795761 5818080 179.18
1746762.17 5920269.45 179.22
1763974.1 5906929.6 179.22
1882552.97 5775794.58 179.24
1973672.55 5783290.13 179.24
1772842.24 5892350.4 179.26
1743990 5918294 179.27
1744034.47 5918311.27 179.27
