Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
LPOR,-39.00704198,176.2834917,682,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),775,0.5,Q3,NZVM (2021),0,0,0
LRAN,-39.475751,176.037987,589,C,306,0.3,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),575,0.5,Q3,NZVM (2021),0,0,0
LROS,-39.04774425,176.9551999,280,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),3925,0.5,Q3,NZVM (2021),0,0,0
LS16,-39.23244542,175.7776847,930,C,460,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),1675,0.5,Q3,NZVM (2021),0,0,0
LS25,-39.07854247,175.8531862,549,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1825,0.5,Q3,NZVM (2021),0,0,0
LTAT,-39.04244342,176.6148957,523,B,587,0.364,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1325,0.5,Q3,NZVM (2021),0,0,0
LTIM,-39.40945009,176.2459898,781,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1275,0.5,Q3,NZVM (2021),0,0,0
LWAI,-38.70703771,177.0735025,616,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
LWHI,-38.83103913,176.5879961,899,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),1575,0.5,Q3,NZVM (2021),0,0,0
LWON,-39.46244979,175.6189819,765,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),775,0.5,Q3,NZVM (2021),0,0,0
LWTT,-39.53625305,176.3996913,341,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1375,0.5,Q3,NZVM (2021),0,0,0
MAGS,-36.88533866,174.7260406,31,C,584,0.2,Q3,NSHM 2021,0.4,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1075,0.5,Q3,NZVM (2021),0,0,0
MAHC,-39.08104685,177.8849112,36,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),9475,0.5,Q3,NZVM (2021),0,0,0
MATS,-41.42895,172.7037,314,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),1825,0.5,Q3,NZVM (2021),0,0.8,0
MIMC,-38.65153629,176.9194008,403,B,619,0.3635,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),45,0.5,Q3,1,NZVM (2021),825,0.5,Q3,NZVM (2021),0,0,0
