CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing,NZTM_X,NZTM_Y, Vs30
CPT_30619_measurement_num_0,-43.5061819752235,172.619016060982,2479202.65620625,5744514.49155156,1569202.74,5182901.57,146.33
CPT_49209_measurement_num_0,-43.5422249802878,172.658537991004,2482415.01287856,5740523.83417925,1572413.97,5178912.55,146.4
CPT_258_measurement_num_0,-43.5364208428551,172.684353647985,2484499.01056902,5741176.86604256,1574497.12,5179565.39,146.41
CPT_1007_measurement_num_0,-43.5501930979622,172.649967358707,2481726.02984235,5739635.70041863,1571725.29,5178024.74,146.42
CPT_5011_measurement_num_0,-43.5412554335978,172.668397981481,2483211.47172082,5740634.75179686,1573210.11,5179023.45,146.49
CPT_437_measurement_num_0,-43.5309458196976,172.642683183643,2481128.28859084,5741771.63176615,1571127.71,5180159.82,146.49
CPT_23697_measurement_num_0,-43.5465834726455,172.638474822964,2480795.5984206,5740032.79849453,1570795.21,5178421.65,146.51
CPT_75815_measurement_num_0,-43.537306576398,172.627997497095,2479944.31268391,5741059.77581602,1569944.22,5179448.2,146.52
CPT_30072_measurement_num_0,-43.5371709612646,172.704003976224,2486087.60424369,5741099.31931637,1576085.08,5179487.92,146.56
CPT_99740_measurement_num_0,-43.5360649136624,172.64975588494,2481702.38498587,5741205.30350521,1571701.6,5179593.73,146.56
CPT_140960_measurement_num_0,-43.5566099783197,172.662587079332,2482748.68879606,5738926.9454148,1572747.57,5177316.3,146.57
CPT_40639_measurement_num_0,-43.5388416844923,172.628488847989,2479984.78241948,5740889.39871735,1569984.68,5179277.89,146.58
CPT_55508_measurement_num_0,-43.5182070689979,172.670916455463,2483404.96481699,5743196.28034429,1573403.45,5181583.98,146.58
CPT_31875_measurement_num_0,-43.5631550301769,172.662828041613,2482771.08044649,5738199.84780365,1572769.98,5176589.49,146.58
CPT_38036_measurement_num_0,-43.5077289678944,172.650698029407,2481765.41333327,5744353.7922249,1571764.51,5182741,146.6
CPT_10066_measurement_num_0,-43.5057505591781,172.617526383724,2479081.97121857,5744561.87288789,1569082.1,5182948.93,146.6
CPT_10001_measurement_num_0,-43.5443644076073,172.631823496947,2480256.99655047,5740277.00249558,1570256.81,5178665.74,146.6
CPT_25361_measurement_num_0,-43.5371971627132,172.649803790463,2481706.78253896,5741079.52439656,1571706,5179468,146.65
CPT_75752_measurement_num_0,-43.5687735642054,172.682519416479,2484364.35454513,5737581.81241427,1574362.64,5175971.76,146.65
CPT_23698_measurement_num_0,-43.5467115090333,172.638844065653,2480825.49963028,5740018.70194584,1570825.1,5178407.56,146.66
CPT_3841_measurement_num_0,-43.5115751380819,172.651492634603,2481831.44760032,5743926.74551736,1571830.53,5182314.12,146.68
CPT_741_measurement_num_0,-43.505508335171,172.627810200307,2479913.4819983,5744592.53203175,1569913.29,5182979.6,146.69
CPT_55422_measurement_num_0,-43.5417820756605,172.668020413606,2483181.18779467,5740576.11971492,1573179.84,5178964.84,146.69
CPT_34530_measurement_num_0,-43.5068630223084,172.651996023048,2481869.97662446,5744450.43691418,1571869.03,5182837.61,146.73
CPT_14638_measurement_num_0,-43.5700932599939,172.684160270016,2484497.46257551,5737435.68905985,1574495.7,5175825.7,146.73
