NZTM_X NZTM_Y Vs30
1572479 5204533 164.17
1880896.28 5780277.2 164.17
1879110.22 5824960.02 164.18
1572363 5204333 164.2
1763218 5908776 164.2
1880206.76 5773918.25 164.21
1568579.27 5175938.28 164.22
1859285 5834053 164.24
1873343.12 5816662 164.24
1641085.07 6106575.31 164.25
1744910.3 5917049.1 164.25
1873815.63 5818936.04 164.27
1570969 5176619.99 164.28
1776043.19 5580868.02 164.28
1931838.12 5620896.96 164.32
2035408.85 5709960.71 164.33
1796108.23 5825975.46 164.34
1768067.56 5906931.31 164.36
1569801.97 5179231.5 164.38
1793107.78 5835210.16 164.39
1873892.11 5819185.58 164.4
1885712.54 5823454.16 164.4
1572464 5204600 164.41
1570835.08 5175439.99 164.42
1948659.57 5790052.66 164.42
1572735 5204468 164.44
1570495 5188539 164.45
1887802.53 5822044.57 164.45
1837745 5918648 164.47
1571425.32 5190641.52 164.51
1864681.95 5828050.49 164.51
1891549.08 5813676.37 164.52
1771619.25 5894714.41 164.53
1568876 5182509 164.55
1858494 5839803 164.55
