NZTM_X,NZTM_Y,Vs30,xcoord,ycoord
1957529,5789109,193.04,177.070003,-37.97525837
1956753.56,5785117.64,250.35,177.0631783,-38.01144643
1956716.07,5785121.27,235.86,177.0627505,-38.01142854
1956350.81,5789267.39,169.31,177.0565433,-37.9742974
1956265.8,5789060.65,196.68,177.0556803,-37.97618941
1956189.22,5789178.22,181.5,177.0547523,-37.97516245
1956155.81,5788977.46,191.78,177.0544723,-37.97698045
1956069.17,5788843.74,278.11,177.0535544,-37.9782166
1956047.83,5788867.45,209.28,177.0533003,-37.97801181
1956037,5789105.88,199.52,177.0530592,-37.97587249
1955901.97,5768658.48,251.37,177.0616937,-38.15975075
1955894.12,5768651.31,261.87,177.0616079,-38.15981831
1952351.9,5790094.84,194.65,177.0107193,-37.96841804
1952340.25,5790098.87,208.54,177.010585,-37.96838632
1952326.37,5790097.67,209.88,177.010428,-37.9684025
1952316.52,5790099.17,208.24,177.0103154,-37.96839283
1952150,5792386,222.2,177.0073051,-37.94789681
1952109,5792350,225.08,177.0068572,-37.94823636
1952053,5792313,218.9,177.0062394,-37.94859071
1952004,5792252,221.67,177.0057129,-37.94915813
1951994,5792293,224,177.0055793,-37.94879337
1951872,5792249,262.18,177.0042156,-37.9492362
1951773,5790305,200.63,177.0040419,-37.96675285
1951730.79,5792229.64,226.55,177.0026218,-37.94946491
1951697.91,5792212.59,226.22,177.0022568,-37.94963093
1951696.8,5792241.8,229.91,177.0022299,-37.94936873
1951648.23,5792208.5,208.11,177.0016947,-37.94968692
1951638.5,5792237.5,192.52,177.00157,-37.94942994
1951620.18,5792205.36,245.79,177.0013777,-37.949726
1951618,5792204,243.6,177.0013536,-37.94973907
1951609,5792228.5,241.02,177.0012395,-37.94952227
1951550.89,5791582.03,185.68,177.0008954,-37.95535713
1951533.35,5791585.33,187.97,177.0006946,-37.95533424
1951160,5792170,225.5,176.9961699,-37.95022179
1951130.14,5791275.05,204.48,176.9962675,-37.95827982
1951126.85,5791274.9,215.75,176.9962302,-37.95828244
1951099,5792156,236.05,176.9954841,-37.95037123
1951060,5792160,200.17,176.9950394,-37.95035032
1951039,5792002,193.91,176.994878,-37.95177901
1950978,5791917,205.85,176.9942268,-37.9525668
1950970,5791985,218.85,176.9941028,-37.9519585
1950965,5791837,209.62,176.9941182,-37.95329111
1950926.8,5791565.88,248.79,176.9938166,-37.9557435
1950923.36,5791580.21,244.9,176.9937706,-37.95561599
1950920,5792134,231.87,176.9934624,-37.95063814
1950916.05,5791560.05,245.43,176.9936974,-37.95580007
1950900,5791959,234.75,176.9933206,-37.95221929
1950895.65,5791575.44,245.01,176.9934582,-37.95566957
1950872,5791919,230.19,176.9930222,-37.95258974
1950843,5792237,218.81,176.9925379,-37.94974178
1950833,5792241,222.48,176.9924224,-37.94970968
1950827,5792132,213.88,176.9924074,-37.95069202
1950796,5791860,244.5,176.992188,-37.95314955
1950783,5791911,232.09,176.9920155,-37.95269602
1950767.48,5791423.51,224.31,176.9920769,-37.95708505
1950764.29,5791394.48,208.95,176.9920548,-37.9573473
1950745,5791991,233.35,176.991545,-37.9519914
1950740,5791942,220.36,176.9915121,-37.95243389
