File Name,depth_input,vs_input,Depth,Qc,Fc,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Subset_Region,Subset_Geology
SCPT_124802,16.01,282.7,16.01,9.3346,0.0183,-0.0482,1.58499870784817,191.524741956012,233.160555424711,179.349769938481,188.849498704722,326.26321568392,6,2
SCPT_124802,16.51,319.2,16.51,10.5634,0.0357,-0.0151,1.62858272443083,206.876815900324,251.850036748221,195.760834590287,204.951314340059,358.982089093896,6,2
SCPT_124802,17,331.1,17,12.9788,0.037,-0.0075,1.56013126525898,210.006336733579,255.659888197401,200.748843137672,211.0208259926,363.496755510751,6,2
SCPT_156311,0.51,355,0.51,16.534,0.1655,-0.002,1.74813698905041,171.127606382233,208.329259943588,275.684358068684,94.4341309967573,182.404163184264,5,1
SCPT_156311,1.01,188,1.01,19.258,0.1034,0.0022,1.51903733802581,174.033515083833,211.866887928145,238.594994837414,112.255694190136,204.195823840289,5,1
SCPT_156311,1.51,196,1.51,11.324,0.0742,-0.0012,1.75476201752585,169.177601050009,205.955340408707,228.295688960495,113.133941645497,215.671634509886,5,1
SCPT_156311,2.01,174,2.01,6.094,0.0576,-0.0012,2.06611275200199,159.275551651223,193.900671575402,219.084419433989,109.710285664927,223.322025871991,5,1
SCPT_156311,2.51,192,2.51,7.057,0.1275,-0.0046,2.19318877313025,183.204988058008,223.032159374966,259.823170305144,127.316813299319,262.224532511529,5,1
SCPT_156311,3.01,156,3.01,5.007,0.0713,-0.0061,2.24074330300231,166.864483339538,203.139371022046,224.372234562948,121.452067681219,253.930923342563,5,1
SCPT_156311,3.51,137,3.51,2.298,0.0172,-0.0084,2.37563278731894,131.909647139342,160.585657387025,166.167133369377,100.692347511417,218.180103859464,5,1
SCPT_156311,4.01,184,4.01,6.177,0.0692,-0.0092,2.10498994952781,177.456246056531,216.033690851429,219.551405929847,135.236131493459,272.408608769483,5,1
SCPT_156311,4.51,176,4.51,7.008,0.046,-0.0074,1.92727869564332,174.631387286444,212.594732348714,202.647287220193,137.547705812606,266.368174832932,5,1
SCPT_156311,5.01,156,5.01,1.75,0.0615,-0.0071,2.84210134937248,145.789902833353,177.483359971038,196.12505009685,118.808311684733,281.17127267769,5,1
SCPT_156311,5.51,137,5.51,2.193,0.0191,-0.0052,2.42447196196617,139.49362682816,169.818328312543,159.72738497395,114.365043613899,247.815880619737,5,1
SCPT_156311,6.01,212,6.01,5.249,0.0464,-0.0063,2.10304958547686,174.81541636338,212.818767746724,196.380861757548,143.006884412758,286.14812264072,5,1
SCPT_156311,6.51,199,6.51,5.875,0.06,-0.0069,2.09861089064459,184.235566376116,224.28677645788,205.972607906989,151.815818378797,302.16632755123,5,1
SCPT_156311,7.01,163,7.01,3.888,0.0252,-0.0063,2.1447100458511,161.125307533611,196.152548301787,171.096444730294,135.882728171946,274.203161975955,5,1
SCPT_156311,7.51,190,7.51,7.326,0.0918,-0.0046,2.07689969540682,202.672768564606,246.732066078651,224.52770466455,168.928335829747,331.639478228163,5,1
SCPT_156311,8.01,212,8.01,5.116,0.0276,-0.0059,2.00190629407348,171.444426105888,208.714953520211,176.551160929982,147.811802633155,287.569649847623,5,1
SCPT_156311,8.51,196,8.51,9.786,0.0935,-0.0004,1.90502082449075,213.284549746733,259.650756213414,229.420442471992,182.626062175931,343.849123865677,5,1
SCPT_156311,9.01,195,9.01,8.79,0.1175,-0.002,2.03483607226928,218.643838356829,266.175107564836,235.801056283016,186.19964808749,359.083597767583,5,1
SCPT_156311,9.51,196,9.51,7.578,0.0572,-0.0035,1.93255591590696,198.050463016109,241.104911497872,203.580766964945,174.28970693468,331.138451819063,5,1
SCPT_156311,10.01,172,10.01,5.132,0.0377,-0.0054,2.06787473002631,181.760856870226,221.274086624622,181.007081255826,161.456712697953,316.847346017556,5,1
SCPT_156311,10.51,192,10.51,8.165,0.052,-0.0046,1.8644498093367,199.872071522164,243.322521853069,201.173489305239,179.710456264614,335.624884073371,5,1
SCPT_156311,11.01,165,11.01,6.636,0.0626,-0.0014,2.03554516377459,200.654008787003,244.27444547983,200.606404288894,179.434060738134,347.351131249873,5,1
SCPT_156311,11.51,169,11.51,5.838,0.0318,-0.001,1.9537051434298,184.759201868786,224.924245753305,177.743316871657,168.593273402715,321.364346127309,5,1
SCPT_156311,12.01,192,12.01,3.554,0.0154,-0.0012,2.10184621201306,163.195985745527,198.673373951076,149.429135405574,149.554094571931,294.535155253781,5,1
SCPT_156311,12.51,226,12.51,5.051,0.0178,0.0041,1.92595688532892,174.001461955668,211.827866728639,161.029258672115,161.037328155936,304.036306220926,5,1
SCPT_156311,13.01,242,13.01,15.335,0.1469,0.0136,1.75860205264141,249.55541364009,303.806590518371,257.01493876561,227.608347067021,407.341637458068,5,1
SCPT_156311,13.51,215,13.51,16.775,0.1659,0.0049,1.73998196077763,257.275758287243,313.205270958383,265.461237922945,235.363256435786,418.078747791725,5,1
SCPT_156311,14.01,222,14.01,7.553,0.0169,0.0015,1.69077445565403,183.701189418105,223.636230595954,171.101897296607,175.344208861507,311.696524226827,5,1
SCPT_156311,14.51,240,14.51,17.068,0.1482,0.0121,1.69549335974826,255.235883018227,310.721944543929,260.042996177955,238.438325872907,419.556089340007,5,1
SCPT_156311,15.01,260,15.01,10.857,0.0684,0.0111,1.75961787755606,221.744154095462,269.949404985779,213.76233041504,211.496667425741,381.421892423652,5,1
SCPT_156311,15.51,320,15.51,10.282,0.0467,0.0196,1.70149536642925,211.323542358218,257.263442870874,200.664635631414,205.163631749209,365.83487887924,5,1
SCPT_156311,16.01,347,16.01,11.303,0.068,0.027,1.73377358749396,224.039318753657,272.743518482713,214.105843627644,216.469517842328,387.516817327796,5,1
SCPT_156311,16.51,311,16.51,13.263,0.2273,0.0374,1.98226312475592,270.674651999624,329.516967651716,266.065125923916,246.950367825842,457.420095979094,5,1
SCPT_156311,17.01,298,17.01,11.283,0.0835,0.0393,1.78773921686555,231.945537598214,282.368480554348,219.266560330706,223.873526470228,404.143064731093,5,1
SCPT_156311,17.51,262,17.51,15.894,0.0777,0.0431,1.5608945015039,235.508905596494,286.706493769645,230.509748501191,235.686061050461,404.347729277198,5,1
SCPT_156311,18.01,292,18.01,16.722,0.1024,0.0242,1.60261127669549,247.016133451205,300.715292897119,241.646150011516,244.826844502535,422.27566248575,5,1
SCPT_156311,18.51,287,18.51,18.989,0.0972,0.0285,1.51096436570846,246.992741758688,300.686816054055,245.183485055149,250.171256031785,422.737825661239,5,1
SCPT_156311,19,307,19,22.557,0.1232,0.0246,1.47906069729119,257.394620449667,313.349972721334,259.378108314333,261.781451605099,437.630540403376,5,1
SCPT_57356,0.1,93,0.1,9.3967,0.0398,0.0013,1.71998123168479,110.206513075599,134.164450700729,202.084234695231,49.1718524861637,99.9412029266779,2,1
SCPT_57356,0.5,93,0.5,1.1205,0.0552,0.0084,3.08496471527871,98.9049140728617,120.405982349571,307.907679856719,58.18723703564,154.247059784706,2,1
SCPT_57356,1,98,1,1.3613,0.0589,-0.0756,2.98369686295503,113.467644115574,138.134523271133,262.649704557501,72.9502435382458,185.637624423063,2,1
SCPT_57356,1.5,80,1.5,0.8422,0.0266,0.0053,3.07107087427717,100.845318321834,122.768213609189,205.549475521426,71.3339319288303,184.83896560932,2,1
SCPT_57356,2,72,2,0.9151,0.0115,0.0097,2.83427167279408,100.336623418696,122.148932857542,169.66360496831,72.9446684268534,178.371691547248,2,1
SCPT_57356,2.5,94,2.5,1.2971,0.0138,-0.0626,2.66652353378363,112.504086248755,136.961496302832,171.139727684991,82.8558711256155,193.757651770008,2,1
SCPT_57356,3,78,3,0.4874,0.0038,-0.0294,2.99607714767961,87.0242759156423,105.942596766869,131.438863474525,68.0197585400348,170.346671984872,2,1
SCPT_57356,3.5,134,3.5,10.2523,0.0482,0.0036,1.71034184265648,176.35490683659,214.692930061935,208.387255249973,135.931438093338,252.049107102043,2,1
SCPT_57356,4,136,4,12.1567,0.0583,0.0169,1.65235329562103,185.827040783806,226.224223562895,216.376866753331,146.877222529367,267.57496759914,2,1
SCPT_57356,4.5,155,4.5,12.3765,0.069,0.0158,1.68252137014642,193.061586870439,235.031497059665,223.801208287666,154.301257783089,281.811120837938,2,1
SCPT_57356,5,147,5,11.4982,0.0836,0.033,1.77655051876636,199.630287999257,243.028176694748,231.940558854366,159.736919495231,296.575071329411,2,1
SCPT_57356,5.5,138,5.5,6.5326,0.0755,0.0425,2.09391312559251,187.648038925009,228.441090865228,221.293370343631,149.927272826643,298.563185973295,2,1
SCPT_57356,6,146.5,6,5.0809,0.0427,-0.0031,2.10279728306477,172.519661197526,210.023935370901,194.807809480665,141.294363534351,282.886098683874,2,1
SCPT_57356,6.5,159,6.5,8.6898,0.0568,0.0526,1.84820371529173,191.367106007995,232.968650792342,210.901799165871,159.821814306058,300.77434566737,2,1
SCPT_57356,7,149.5,7,11.859,0.0794,0.0559,1.74422526523176,207.161958870395,252.197167320481,228.416084054051,175.429692359057,320.844190940547,2,1
SCPT_57356,7.5,185.5,7.5,14.2071,0.0796,0.0631,1.63511628368786,211.563272295896,257.555288012395,231.352637710805,183.578332977103,327.037454721588,2,1
SCPT_57356,8,166.5,8,12.7445,0.0803,0.0682,1.70338058622796,212.054429886888,258.153218992733,229.532203981848,184.134307605561,332.53237315313,2,1
SCPT_57356,8.5,188.5,8.5,12.0746,0.0954,0.07,1.78216050094457,217.942175022245,265.320908722732,235.369628984256,188.490070049925,345.183390888295,2,1
SCPT_57356,9,183,9,9.1058,0.0738,0.078,1.88579156551354,206.681660663093,251.612456459417,218.095233476195,180.006308687876,338.009877255657,2,1
SCPT_57356,9.5,179,9.5,9.716,0.0828,0.0799,1.87659055194139,212.52745503239,258.729075691605,223.320995030742,186.21716222253,347.996742674732,2,1
SCPT_57356,10,150,10,9.5611,0.0758,0.085,1.86309123500323,211.124170416115,257.020729202227,218.859294389898,187.078336277727,348.475708952687,2,1
SCPT_57356,10.5,170,10.5,6.1964,0.0383,0.0232,1.95894282899481,187.416150513511,228.158791929491,185.905351484801,168.337947063777,321.809099872323,2,1
SCPT_57356,11,183,11,14.5763,0.1181,0.0687,1.72635489093072,235.485053184854,286.677456051127,247.390436539685,211.780974281304,379.346063264062,2,1
SCPT_57356,11.5,214,11.5,17.1186,0.1386,0.0927,1.6739355898381,245.301074222806,298.627394706025,259.268613345893,222.370717773874,392.168939669511,2,1
SCPT_57356,12,210.5,12,14.1043,0.1321,0.0998,1.7787374223754,241.412921036561,293.893990827118,250.2871441674,217.957473268322,393.382628911202,2,1
SCPT_57356,12.5,222.5,12.5,13.3245,0.1231,0.1099,1.79321733619189,238.986346470764,290.939900051365,244.714295024546,217.370176327372,393.671479501369,2,1
SCPT_57356,13,179,13,14.1435,0.1163,0.1168,1.74046169439401,239.271237922982,291.286724427978,243.805839675156,220.606032509713,394.845240611897,2,1
SCPT_57356,13.5,177,13.5,10.3875,0.1026,0.1143,1.89419417317957,229.829389982945,279.792300848803,227.564197248793,211.034485988566,391.296116261914,2,1
SCPT_57356,14,174.5,14,12.9455,0.1005,0.1265,1.75386605339697,234.792965216259,285.834914176315,233.886060275731,219.66775493238,394.494920659113,2,1
SCPT_57356,14.5,220,14.5,18.0829,0.1352,0.0699,1.63306988032646,252.259376087117,307.098370888664,258.130404498386,238.558995068072,414.683364680501,2,1
SCPT_57356,15,217.5,15,22.529,0.2315,0.1173,1.66301510481501,280.889879337339,341.952896584586,293.06145426085,259.910462113436,449.275528272989,2,1
SCPT_57356,15.5,224,15.5,18.1829,0.1895,0.1272,1.73130752534815,268.790736866359,327.22350575035,272.671084362552,250.128450952434,440.68105474224,2,1
SCPT_57356,16,199.5,16,20.4036,0.1601,0.1327,1.60897542297001,264.170282607448,321.598604913415,269.49164063032,253.002864368088,434.975518524226,2,1
SCPT_57356,16.5,184,16.5,10.8683,0.0757,0.176,1.78485902826918,227.115743478028,276.488731190643,214.733371251362,219.003265464021,395.85237379431,2,1
SCPT_57356,17,172.5,17,1.5275,0.0285,0.0742,2.72920432797016,154.286343353861,187.826852778613,120.877065972178,153.506949714738,346.221971722441,2,1
SCPT_57356,17.5,192,17.5,14.4529,0.1442,0.0492,1.78947029260172,256.907015755623,312.756367006846,248.323836803637,244.686515774668,437.821951643858,2,1
SCPT_57356,18,186,18,1.4101,0.014,0.3193,2.62043380657903,142.989005502827,174.073571916485,103.544230827518,145.346371334969,320.069869806003,2,1
SCPT_57356,18.5,187,18.5,1.4035,0.0164,0.5573,2.65581190188128,142.902677534023,173.968476997941,101.734931989979,148.293525775133,328.982862288318,2,1
SCPT_57356,19,161,19,1.2329,0.0171,0.6481,2.74138910436972,138.657925061715,168.800952249045,94.3214946321676,147.144357165398,332.695385257784,2,1
SCPT_57356,19.5,189,19.5,1.3075,0.0157,0.6909,2.68846195055023,139.828161153012,170.225587490623,94.7349292987842,148.41394886808,331.334863593922,2,1
SCPT_57356,20,189,20,1.2547,0.0169,0.5983,2.72847206691758,140.509226805802,171.05471089402,93.7216501427966,149.488747655983,336.569541533463,2,1
SCPT_184148,0.51,136,0.51,1.183,0.046,0.009,3.00349142850618,98.8532273263429,120.343059353809,284.21922081025,58.0819294852264,151.451512616462,8,2
SCPT_184148,1.01,147,1.01,0.588,0.023,0.023,3.25238023573455,87.5607160555427,106.595654328487,199.190498938937,59.956035802334,163.67075051029,8,2
