depth_input,Mc15
12.5,0.288748492
13,-0.048980268
13.5,0.167379856
14,-0.213924005
14.5,-0.123302243
15,0.018464217
15.5,-0.198445725
16,-0.048672226
16.5,-0.141680205
17,0.064159693
17.5,-0.168981679
18,-0.243699525
18.5,-0.066423572
19,0.112817656
19.5,-0.059641877
20,-0.260191488
0.1,0.502234625
0.5,0.00408903
1,0.195270037
1.5,0.024671089
2,-0.036826468
2.5,0.026259166
3,0.127744613
3.5,0.09282508
4,0.077692507
4.5,0.000416561
5,-0.025316251
5.5,0.055592485
6,-0.072174164
6.5,-0.069310524
7,-0.035814294
7.5,-0.063620845
8,-0.131128033
8.5,-0.103271422
9,-0.022604931
9.5,-0.11928547
10,-0.093481417
10.5,-0.21967393
11,-0.10939811
11.5,-0.139669408
12,-0.079389864
12.5,-0.193190057
13,-0.088449474
13.5,-0.098624939
14,-0.126140591
14.5,-0.160888224
15,-0.113651281
15.5,-0.289316375
16,-0.132876335
16.5,-0.147606828
17,-0.078645835
17.5,-0.194053158
18,-0.235014875
18.5,-0.152642051
19,-0.269351734
19.5,-0.214701554
20,-0.224945276
0.1,0.672325969
0.5,0.201621724
1,0.135031496
1.5,-0.119669886
2,-0.096729613
2.5,-0.016200729
3,0.155107354
3.5,0.135211758
4,-0.126034131
4.5,0.020456261
5,-0.113385838
5.5,0.065815394
6,-0.183566501
6.5,-0.079270349
7,0.051553196
7.5,-0.096938412
8,-0.181868596
8.5,-0.147027223
9,-0.280957662
9.5,-0.22792076
10,-0.076842642
10.5,-0.118854193
11,-0.270008517
11.5,0.078460473
12,0.103878656
12.5,-0.107309515
13,0.023823887
13.5,0.187086868
14,0.221818638
14.5,0.098477648
15,0.013295642
0.1,0.583446399
0.5,0.099742467
1,-0.311114168
1.5,-0.127158395
2,0.008891188
2.5,-0.142351078
3,-0.198615147
3.5,0.014265266
4,0.491905008
4.5,0.293036771
5,-0.019258514
5.5,-0.133998369
6,0.208217112
6.5,-0.001700839
7,0.141705724
7.5,0.172764201
8,0.014273166
8.5,0.006484113
9,-0.145546936
9.5,-0.094390674
10,-0.226874486
10.5,0.215207913
11,-0.105054953
11.5,0.411944582
12,0.059763209
12.5,0.520039562
13,0.08689203
13.5,0.039233652
14,-0.253381209
14.5,-0.008000933
15,-0.050369297
15.5,-0.066759833
16,-0.247890592
16.5,0.773282386
17,0.72900595
17.5,0.501044339
18,0.513417777
18.5,0.572873253
19,0.672131531
19.5,0.80022066
20,0.878640604
0.1,0.62298051
0.5,-0.011164613
1,-0.032595885
1.5,0.121763036
2,0.334206065
2.5,0.016317198
3,-0.129957869
3.5,0.012978696
4,0.260921757
4.5,0.142786847
5,0.065147277
5.5,-0.040190837
6,0.262229152
6.5,0.170367106
7,0.183800728
7.5,0.421488864
8,0.269434734
8.5,0.080321019
9,0.029940327
9.5,0.257027263
10,-0.183835071
10.5,0.023746595
11,0.075998258
11.5,0.212876036
12,0.088101871
12.5,-0.001300816
13,0.095663425
13.5,-0.113456354
14,0.043159098
14.5,-0.090084876
15,-0.041976339
15.5,0.070625034
16,0.147573248
0.1,0.637278137
0.5,0.468933457
1,0.295189865
1.5,0.114654517
2,-0.013035068
2.5,0.126192176
3,0.136910597
3.5,-0.014310827
4,-0.076942131
4.5,0.004518206
5,-0.083095622
5.5,-0.082896643
6,0.03618003
6.5,-0.005155332
7,-0.159941957
7.5,0.010413423
8,-0.100670115
8.5,5.27E-05
9,0.016494254
9.5,-0.039527726
10,-0.220892146
10.5,0.009824888
11,-0.146066448
11.5,-0.038369874
12,-0.034814314
12.5,0.02332532
13,-0.208992646
13.5,-0.175871828
14,-0.230191458
14.5,-0.080989092
15,-0.178138345
15.5,-0.110328538
16,-0.237586574
16.5,-0.174150883
17,0.116651396
17.5,-0.242482492
18,0.246627012
18.5,0.231915025
19,0.089990238
19.5,0.241741693
20,0.234525891
0.1,0.54547615
0.5,0.081248179
1,0.005346853
1.5,-0.027633009
2,-0.002004128
2.5,0.018589651
3,0.069750014
3.5,-0.123892455
4,-0.157069734
4.5,-0.19120178
5,-0.136965341
5.5,-0.132738832
6,-0.217055434
6.5,-0.05240341
7,-0.013184453
7.5,-0.003244276
8,0.023553142
8.5,0.079957563
9,0.271081347
9.5,0.03140212
10,-0.070234992
10.5,0.046041231
11,0.04242449
11.5,-0.004787263
12,0.097922114
12.5,0.06793575
13,0.105505305
13.5,0.041284419
14,-0.153052583
14.5,0.167012012
15,0.031605741
15.5,-0.184539717
16,-0.093201275
16.5,0.092669806
17,-0.002905803
17.5,-0.004213154
18,-0.077925063
18.5,0.020571129
19,-0.097617129
19.5,-0.037712707
20,-0.01514862
0.1,0.502219927
0.5,0.012637104
1,-0.098113417
1.5,-0.419643039
2,-0.506578095
2.5,-0.538964317
3,-0.718243578
3.5,-0.378541233
4,-0.705240678
4.5,-0.558138324
5,-0.672887387
5.5,-0.52327927
6,-0.301137922
6.5,-0.201099929
7,-0.215038984
7.5,0.535222173
8,-0.03005942
8.5,-0.167636251
9,-0.037707128
9.5,-0.124887104
10,-0.169611269
10.5,0.102043073
11,-0.304199627
11.5,-0.098268418
12,0.066059815
12.5,0.024347739
13,0.126165745
13.5,0.072264347
14,0.026450094
14.5,0.090131711
15,-0.13182757
15.5,-0.069594843
16,-0.184632522
16.5,-0.158901619
17,-0.19758865
17.5,-0.067887025
18,-0.103556926
0.1,0.737833456
0.5,0.189984066
1,-0.083876097
1.5,0.117449997
2,0.483664115
2.5,0.28512956
3,0.158703829
3.5,0.067089236
4,0.016380729
4.5,-0.071042533
5,-0.129522389
5.5,-0.002726782
6,-0.128218553
6.5,-0.100162657
7,-0.014471231
7.5,0.228354742
8,0.086405551
8.5,0.205668667
9,0.11192599
9.5,0.073086742
10,0.12717274
10.5,0.065797519
11,0.081813443
11.5,0.143098651
12,0.17856266
12.5,0.092957592
13,0.149759893
13.5,0.15825112
14,0.001068416
14.5,0.086419737
15,-0.059726278
15.5,-0.069538947
16,0.100899912
16.5,0.076876924
17,0.058910093
17.5,-0.120270012
18,0.087549089
18.5,0.009341152
19,-0.174371796
19.5,0.025991066
20,0.018059739
