File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
SCPT_155218_Raw01, 13.00, 273.79, 338.15, 129.04, 155.60, 157.09, 190.62, 181.30, 221.00, 103.08, 123.41, 250.96, 309.10
SCPT_14541_Raw02, 18.00, 208.08, 237.95, 171.07, 195.08, 208.26, 238.16, 188.67, 215.46, 136.40, 155.03, 294.01, 337.90
SCPT_156311_Raw01, 19.00, 212.10, 239.53, 188.96, 213.12, 230.04, 260.04, 209.15, 236.17, 152.87, 171.98, 296.13, 335.75
SCPT_195937_Raw01, 10.00, 237.22, 306.60, 90.91, 114.26, 110.68, 139.90, 139.59, 177.64, 76.55, 95.73, 201.70, 259.46
SCPT_195935_Raw01, 10.00, 229.87, 296.82, 123.91, 157.14, 150.85, 192.41, 169.37, 216.76, 96.72, 121.77, 238.91, 308.85
SCPT_14543_Raw02, 18.00, 183.15, 209.06, 136.94, 155.67, 166.72, 190.04, 160.16, 182.47, 111.63, 126.51, 241.80, 277.11
SCPT_148995_Raw01, 27.00, 106.54, 109.33, 151.07, 155.27, 183.91, 189.18, 142.39, 146.30, 135.21, 138.89, 270.86, 279.08
SCPT_14539_Raw02, 24.00, 270.19, 287.75, 212.18, 225.74, 258.31, 275.05, 225.71, 240.20, 172.56, 183.43, 349.40, 372.52
SCPT_57341_Raw01, 20.00, 255.06, 285.06, 204.10, 227.63, 248.47, 277.63, 237.75, 265.54, 164.51, 183.10, 313.20, 350.72
SCPT_57356_Raw01, 20.00, 186.47, 207.79, 174.83, 194.70, 212.84, 237.47, 193.23, 215.39, 144.00, 160.07, 295.85, 331.12
