Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
10.3,47.1398,0.1652,0.0072,283.4145925762481,247.12703673014127,300.85030558451984,296.9518867276011,253.19156836714274,393.12616346172206
10.32,49.1693,0.1202,0.0101,238.35517512307865,227.05009915456202,276.4088163620755,280.7720480226054,248.23144154166226,377.50858756598655
10.34,47.9005,0.0899,0.0757,209.0453036913931,212.96701961532764,259.2641977925728,266.91709294871214,241.53804895592242,363.62750659227765
10.36,46.693,0.127,0.1038,246.4755893201345,232.06172010910308,282.50992013282115,282.2557415866681,247.7854493934963,380.44573554197274
10.38,46.6007,0.129,0.0231,248.57189052872218,233.095962300265,283.7689975829313,283.1326482479164,248.16935082761762,381.3997923355886
10.4,46.9487,0.1315,0.0879,250.70397972638742,233.97179118799232,284.83522405494716,284.37244739297046,248.96467076498206,382.5599945162329
10.42,44.3869,0.0695,0.0813,190.19286017227424,204.8653772163632,249.40132878513782,255.546220493843,234.35513884215388,352.15024796343334
10.44,44.2214,0.0333,0.0037,160.17101605560882,186.05646893022978,226.50352739332322,240.20305354515548,220.47051229888902,320.1742584513956
10.46,42.3183,0.0273,0.0239,157.24243373521347,185.69104944999725,226.05866889564885,237.19359302330253,215.61014601432012,312.0604457342333
10.48,40.514,0.0316,0.0485,157.78682770796618,187.61089082116112,228.39586708663094,236.08427052732432,216.99384996813933,318.1022628960036
10.5,39.4805,0.034,-0.0111,158.8736600791442,189.20291042417801,230.33397790769502,235.87256241519546,217.62074815581065,321.237427114843
10.52,39.2144,0.0522,-0.0109,174.44047134674096,199.27678587541362,242.59782628311223,243.7515631345528,225.40368569763314,339.7961080316936
10.54,40.4537,0.0375,0.0039,161.55760294376984,190.29194305559136,231.65975676332863,238.2391854033101,220.40127167011096,325.72716982804326
10.56,38.3071,0.0487,0.0534,171.08944202297153,197.9732894183639,241.01096103105172,241.37098118775296,223.59058472867568,337.00920115558455
10.58,37.5315,0.0763,0.0399,199.82036343340587,214.48880195143118,261.11680237565537,254.52419044981104,231.51939987887604,357.3825547753291
10.6,38.2,0.0583,0.0418,180.6911323918318,203.80895608986665,248.1152508920116,246.18112874517342,227.10174322276,345.3077457627724
10.62,39.6546,0.0228,0.0032,155.17240167984454,186.80023124841046,227.40897717197797,234.40314411821606,211.32131549368464,305.8638569567213
10.64,40.6895,0.0236,0.0129,155.97998760814875,186.52578324853718,227.07486656343656,235.75674340877794,212.82603332904432,307.4430763136454
10.66,39.4041,0.0262,0.0105,155.20713244675397,187.11124185014654,227.78759877409146,234.32368524016212,213.80177010881627,311.7227525951992
10.68,41.7539,0.0593,0.0391,180.9054907435868,201.78949636343927,245.65677818157826,249.66202632321932,230.83653440693607,346.95931412724383
10.7,42.0187,0.106,0.0735,228.1196759902112,226.68039640800683,275.95874345322574,271.6098175552616,242.58426990567898,374.36659464558363
10.72,43.6011,0.1125,0.0808,233.703423321899,228.66802268990085,278.3784624050967,275.49259057667086,245.21400181611406,377.55579900084575
10.74,45.0518,0.1115,0.0656,231.8619946961459,227.19397681855776,276.5839717791138,276.0744085903237,246.31756148773422,377.3870916528284
10.76,48.215,0.1449,-0.0405,262.59534470430145,239.8251776758885,291.9610858662991,291.5644396551896,254.33641363910777,390.8433240598332
10.78,47.8975,0.1602,-0.0476,277.32266223434704,246.193720642701,299.7140946954621,297.12230095075176,256.35268872037534,396.14369078668597
10.8,46.8448,0.1864,0.0077,302.4366498624797,256.30933268361656,312.02875283222886,305.5940566554573,258.89989686596573,404.1446442443704
10.82,46.8525,0.1983,0.0129,313.2813574495168,260.3196237485228,316.91084630254954,309.5628573799742,260.3732149558087,407.60042458306447
10.84,47.2569,0.2117,0.0214,325.0173706618385,264.4387250117115,321.92540436208355,314.13276676545735,262.2489678889192,411.29830339012204
10.86,47.255,0.1567,0.0578,274.1837597464238,245.42218229117412,298.7748306153424,295.6561858871336,255.91145124603094,395.707775641543
10.88,48.2507,0.1629,-0.0128,279.39075591158706,247.27767782632245,301.0336947450882,298.6347967826926,257.64079284378045,397.955520492461
10.9,49.817,0.1482,0.0341,264.4609371249233,240.44552143969014,292.7162869700576,294.23793477616766,256.9361193870026,393.3684458012412
10.92,47.2098,0.177,-0.0022,293.16256730634717,253.19502405492636,308.237420588606,303.03447769859724,258.8726257023626,402.58208570316987
10.94,45.1469,0.1855,0.0403,302.45275850191155,257.25029537157855,313.17427262626956,304.55448343893045,258.3471090143247,405.09799474221904
10.96,43.7216,0.18,-0.0002,298.45528509065053,256.15120112874433,311.8362448523844,301.8075424923735,256.6451170204206,403.6067324950185
10.98,42.5564,0.1871,-0.0187,305.93918625598593,259.10589896805783,315.43326830894,303.39754158725503,256.60099789835067,405.74771240298935
11.0,39.4096,0.1834,0.0213,305.01992240927825,259.1845548003376,315.52902323519356,299.82009101791795,253.48591102091524,404.65179649207084
11.02,33.7682,0.1516,0.0108,279.4249832049665,250.55126441118009,305.0189305875236,284.27751988051034,244.14480026819643,394.48777897161443
11.04,32.5606,0.1254,0.0674,253.8737905633159,241.33129246028304,293.79461690817067,273.32197823092764,239.19363919922677,384.9493002128102
11.06,31.5853,0.1357,0.0997,265.1389495656326,245.596736861828,298.9873318317906,276.43857150539975,239.8345333493447,389.0105429993939
11.08,28.3639,0.0862,0.0505,214.99137713112023,226.1688853152351,275.33603429680795,252.62703566355134,227.53346242533723,366.60191340325315
11.1,26.0817,0.077,0.0794,205.97646752502973,222.566991716804,270.9511203508918,245.85068074312701,222.81719886207154,361.2028338393086
11.12,25.5421,0.0691,0.0914,197.03162540333423,218.75365697939182,266.30879980099877,241.30540331947392,220.2706241117039,356.2625003572172
11.14,25.1679,0.0673,0.0603,195.12490868769896,218.0032426388668,265.3952519081857,240.01773178471112,219.43157557594407,355.1648146451175
11.16,25.2997,0.0665,0.0373,194.0908147556897,217.593945721585,264.89697740019045,239.8012498981019,219.4882516707878,354.78778925029025
11.18,25.3039,0.0671,0.0561,194.71974382397872,217.94874503262284,265.3289069962365,240.1300419247865,219.76655896318803,355.3636865051849
11.2,24.6123,0.0715,0.0529,200.2789046039007,220.52375203689786,268.4636981318757,241.63638394883213,220.15763516962932,358.3985359079127
11.22,23.6626,0.0729,0.0443,202.51529378698743,221.5367144751964,269.6968697958913,241.27187848030866,219.37504185025995,359.3607070885719
11.24,22.7931,0.0674,0.0282,196.4681623276503,218.984543238881,266.5898787255943,237.44184770650347,216.88689829952295,355.7764225523784
