depth_input,A07-H
11.01,0.46461935
11.51,0.295621327
12.01,0.15632482
12.51,0.076882203
13.01,-0.07582021
13.51,-0.004080721
14.01,0.009967128
14.51,0.182196069
15.01,0.354249096
15.51,0.333439955
16.01,0.315757488
16.51,0.339531647
17.01,0.174835234
17.51,0.22082131
18.01,-0.036607143
18.51,0.230485935
19.01,0.039660426
19.51,0.073941029
20.01,0.036024434
20.51,0.022894028
21.01,0.137982037
21.51,0.063642641
22.01,-0.014913925
22.51,0.053029588
23.01,0.300008719
23.51,0.21492542
24,0.392971728
0.1,1.702839675
0.5,1.056699898
1.5,0.284196228
2,0.219906075
2.5,0.246759879
3,0.607525603
3.5,0.480532056
4,-0.112300899
4.5,0.352791402
5,0.521242576
5.5,0.070490465
6,0.32356419
6.5,0.138721102
7,-0.05992656
7.5,-0.298602258
8,0.181319485
8.5,0.05084919
9,-0.096991025
9.5,0.198093668
10,0.01382044
10.5,-0.017777229
11,0.336302135
11.5,0.144523793
12,0.183567233
12.5,0.214788803
13,0.153007948
13.5,0.095810531
14,0.004066003
14.5,-0.25163814
15,-0.174896337
15.5,0.242340978
16,0.02350146
16.5,0.209203095
17,0.31505291
17.5,-0.167288318
18,-0.375296885
18.5,-0.365353403
19,-0.461160525
0.51,1.707007769
1.01,0.523061653
1.51,0.550235466
2.01,0.875185254
2.51,0.872936859
3.01,-0.217206496
3.51,-0.191755919
4.01,0.114215114
4.51,0.074128057
5.01,0.076279197
5.51,-0.00381825
6.01,-0.012054216
6.51,-0.044952017
7.01,0.477523578
7.51,0.423661127
8.01,0.597764132
8.51,0.56474124
9.01,-0.33383377
9.51,-0.262859982
10.01,-0.169508752
10.51,-0.05040262
11.01,-0.560215854
11.51,-0.361112933
12.01,-0.534353416
12.51,0.082727185
13.01,0.097497815
13.51,0.03480816
14.01,0.024023049
14.51,-0.058555209
15.01,-0.094615931
15.51,-0.152283837
16.01,-0.177842459
16.51,-0.159278924
17.01,-0.176298189
17.51,-0.189665691
18.01,-0.149145967
18.51,-0.158924323
19,-0.117772812
0.1,0.904766954
0.5,0.744415555
1,0.483513313
1.5,0.603449531
2,0.098665118
2.5,0.210793945
3,0.298332194
3.5,0.037627326
4,0.192724907
4.5,0.112079517
5,0.230861403
5.5,0.238848979
6,0.058301506
6.5,0.219787667
7,-0.011461548
7.5,-0.114044508
8,0.127114142
8.5,0.301583235
9,0.246285272
9.5,0.041744359
10,0.120392352
10.5,-0.093469898
11,0.012203297
11.5,0.224040028
12,0.279581652
12.5,-0.036208592
13,0.471493558
13.5,0.408241185
14,0.271919314
14.5,0.470117327
15,0.40717471
15.5,0.020486774
16,0.047496788
16.5,0.377171577
17,-0.100056223
17.5,-0.003721352
18,0.315771746
18.5,0.383518196
19,-0.052845964
19.5,0.048038606
20,0.027900283
20.5,0.521017584
21,0.596786438
21.5,0.586051579
22,-0.17746002
22.5,-0.080743274
23,-0.2970737
0.51,0.510669762
1.01,0.231201536
1.51,0.40649708
2.01,0.189599921
2.51,0.30018982
3.01,0.118129616
3.51,0.207960406
4.01,0.283956955
4.51,-0.001925065
5.01,0.130939503
5.51,-0.024874223
6.01,-0.134965787
6.51,-0.11542841
7.01,-0.147753149
7.51,-0.11663027
8.01,-0.177602841
8.51,-0.069705106
9.01,-0.26173041
9.51,-0.048400732
10.01,0.133219246
10.51,0.229239233
11.01,0.144279005
11.51,0.126518472
12.01,0.003731489
12.51,0.225593527
13.01,-0.198223921
13.51,0.194946139
14.01,0.153983562
14.51,0.179688776
15.01,0.187412092
15.51,0.074739861
16.01,-0.001679976
16.51,0.061382127
17,0.550961534
0.51,1.283573715
1.01,-0.044440319
1.51,-0.139921375
2.01,-0.154463954
2.51,-0.13467261
3.01,-0.092222537
3.51,-0.2288786
4.01,0.387540517
4.51,0.397866053
5.01,0.218292935
5.51,0.051504975
6.01,0.774947227
6.51,0.735434902
7.01,0.209378261
7.51,0.048670661
8.01,-0.125408315
8.51,-0.18035808
9.01,-0.107043848
9.51,-0.094140719
10.01,0.171157528
10.51,-0.053336296
11.01,-0.136513201
11.51,-0.136862128
12.01,0.39627596
12.51,0.367562846
13.01,0.236130359
13.51,0.166104518
14.01,-0.007400864
14.51,-0.17836739
