File Name, Hegazy Depth, Hegazy Vs, Andrus Depth, Andrus Vs, Rob Depth, Rob Vs, Mc15 Depth, Mc15 Vs, Mc18 Depth, Mc18 Vs
CPT_6457, 7.04, 275.49, 7.04, 215.41, 7.04, 250.38, 7.04, 191.31, 7.04, 336.60
CPT_6457, 7.06, 269.85, 7.06, 214.60, 7.06, 249.56, 7.06, 191.84, 7.06, 335.72
CPT_6457, 7.08, 265.59, 7.08, 213.58, 7.08, 248.22, 7.08, 191.58, 7.08, 334.73
CPT_6457, 7.10, 260.33, 7.10, 212.13, 7.10, 246.27, 7.10, 190.94, 7.10, 333.27
CPT_6457, 7.12, 263.55, 7.12, 212.79, 7.12, 246.94, 7.12, 190.99, 7.12, 334.32
CPT_6457, 7.14, 269.12, 7.14, 214.16, 7.14, 248.64, 7.14, 191.53, 7.14, 336.20
CPT_6457, 7.16, 267.25, 7.16, 213.88, 7.16, 248.33, 7.16, 191.73, 7.16, 336.05
CPT_6457, 7.18, 260.54, 7.18, 212.62, 7.18, 246.96, 7.18, 191.99, 7.18, 334.67
CPT_6457, 7.20, 256.96, 7.20, 211.98, 7.20, 246.33, 7.20, 192.28, 7.20, 334.09
CPT_6457, 7.22, 261.89, 7.22, 212.46, 7.22, 246.30, 7.22, 191.24, 7.22, 335.05
CPT_6457, 7.24, 261.72, 7.24, 212.48, 7.24, 246.31, 7.24, 191.39, 7.24, 335.28
CPT_6457, 7.26, 261.54, 7.26, 212.49, 7.26, 246.31, 7.26, 191.54, 7.26, 335.52
CPT_6457, 7.28, 255.54, 7.28, 210.57, 7.28, 243.58, 7.28, 190.30, 7.28, 333.51
CPT_6457, 7.30, 261.87, 7.30, 211.87, 7.30, 245.02, 7.30, 190.41, 7.30, 335.44
CPT_6457, 7.32, 262.81, 7.32, 212.28, 7.32, 245.58, 7.32, 190.86, 7.32, 336.11
CPT_6457, 7.34, 263.29, 7.34, 212.76, 7.34, 246.33, 7.34, 191.60, 7.34, 336.81
CPT_6457, 7.36, 256.25, 7.36, 212.07, 7.36, 246.18, 7.36, 193.10, 7.36, 335.92
CPT_6457, 7.38, 251.92, 7.38, 211.92, 7.38, 247.00, 7.38, 194.99, 7.38, 335.88
CPT_6457, 7.40, 246.47, 7.40, 211.21, 7.40, 247.33, 7.40, 196.68, 7.40, 335.38
CPT_6457, 7.42, 235.66, 7.42, 208.59, 7.42, 245.91, 7.42, 197.94, 7.42, 333.02
CPT_6457, 7.44, 210.81, 7.44, 199.99, 7.44, 236.18, 7.44, 194.27, 7.44, 323.26
CPT_6457, 7.46, 203.28, 7.46, 197.15, 7.46, 232.58, 7.46, 192.52, 7.46, 319.80
CPT_6457, 7.48, 186.21, 7.48, 190.40, 7.48, 224.44, 7.48, 188.40, 7.48, 310.95
CPT_6457, 7.50, 175.24, 7.50, 185.71, 7.50, 216.99, 7.50, 183.34, 7.50, 303.53
CPT_6457, 7.52, 168.57, 7.52, 182.82, 7.52, 212.89, 7.52, 180.65, 7.52, 298.92
CPT_6457, 7.54, 171.78, 7.54, 184.16, 7.54, 213.84, 7.54, 181.03, 7.54, 301.03
CPT_6457, 7.56, 158.52, 7.56, 178.42, 7.56, 207.61, 7.56, 177.37, 7.56, 291.67
CPT_6457, 7.58, 191.62, 7.58, 191.84, 7.58, 221.48, 7.58, 184.46, 7.58, 312.33
CPT_6457, 7.60, 181.20, 7.60, 187.92, 7.60, 217.07, 7.60, 182.49, 7.60, 306.95
CPT_6457, 7.62, 187.53, 7.62, 190.24, 7.62, 219.22, 7.62, 183.31, 7.62, 310.38
