File Name, Depth, Hegazy Vs, Andrus Vs,  Rob Vs, Mc15 Vs,  Mc18 Vs
CPT_6458, 12.56, 259.95,  200.73,  213.73, 215.00,  363.51
CPT_6458, 12.58, 252.22,  198.72,  211.07, 213.48,  360.62
CPT_6458, 12.60, 240.13,  195.56,  206.81, 211.13,  355.89
CPT_6458, 12.62, 232.63,  193.36,  203.99, 209.25,  352.50
CPT_6458, 12.64, 228.02,  191.64,  201.97, 207.43,  349.80
CPT_6458, 12.66, 228.09,  191.02,  201.58, 206.29,  348.91
CPT_6458, 12.68, 228.55,  190.37,  201.21, 205.02,  347.98
CPT_6458, 12.70, 242.31,  191.83,  204.66, 204.28,  350.83
CPT_6458, 12.72, 254.96,  193.85,  208.43, 204.97,  354.50
CPT_6458, 12.74, 258.79,  194.28,  209.51, 204.94,  355.46
CPT_6458, 12.76, 187.32,  177.81,  184.69, 193.51,  324.96
CPT_6458, 12.78, 225.27,  184.56,  196.50, 196.20,  339.59
CPT_6458, 12.80, 233.23,  187.97,  200.65, 200.01,  345.38
CPT_6458, 12.82, 236.46,  189.98,  202.92, 202.53,  348.68
CPT_6458, 12.84, 241.79,  191.08,  204.77, 203.20,  350.74
CPT_6458, 12.86, 247.02,  191.45,  206.02, 202.77,  351.74
CPT_6458, 12.88, 261.69,  191.76,  208.82, 200.88,  353.48
CPT_6458, 12.90, 275.48,  191.98,  211.46, 199.41,  355.19
CPT_6458, 12.92, 299.31,  191.75,  215.58, 196.76,  357.54
CPT_6458, 12.94, 327.98,  191.48,  220.54, 194.43,  360.57
