depth_input,R09
8.51,-0.203568347
9.01,-0.133902854
9.51,-0.103943973
10.01,0.180016126
10.51,-0.072643576
11.01,-0.160408003
11.51,-0.146820893
12.01,0.667336853
12.51,0.638103467
13.01,0.494668912
13.51,0.375785158
14.01,0.117066821
14.51,-0.078204534
15.01,0.450977092
15.51,0.183473951
16,0.291971947
0.51,-1.668733422
1.01,-1.196822384
1.51,-1.325810217
2.01,0.040559965
2.51,-0.180253977
3.01,0.162842307
3.51,0.731197418
4.01,0.372347612
4.51,0.276518138
5.01,-0.06140785
5.51,0.112525709
6.01,0.075213244
6.51,0.133738655
7.01,0.749814549
7.51,0.60113881
8.01,0.05066556
8.51,0.485094834
9.01,0.348814689
9.51,0.561546293
10.01,0.610310013
10.51,0.878707988
11.01,0.451719626
11.51,0.979513894
12.01,0.978979693
12.51,0.619589647
13.01,1.550555146
13.51,-0.278661965
14.01,0.56958147
14.51,1.160462412
15.01,0.56677746
15.51,0.555362013
16.01,0.683023055
16.51,1.11127251
17.01,0.787306003
17.51,0.714551221
18.01,0.212182465
18.51,0.84907206
19.01,0.782690773
19.51,1.012061119
20.01,0.990314393
20.51,0.995301671
21.01,0.43328689
21.51,0.639672967
22.01,1.288158219
22.51,1.145941597
23.01,0.573378341
23.51,0.761725014
24,0.874961113
0.51,-0.723867104
1.01,-0.482036104
1.51,-0.838696392
2.01,0.169967606
2.51,0.488884655
3.01,-0.595526319
3.51,-0.539327635
4.01,-0.3722796
4.51,-0.389728691
5.01,1.152539709
5.51,0.471350224
6.01,-0.045377522
6.51,0.134683505
7.01,0.004410988
7.51,-0.006362432
8.01,0.114026766
8.51,-0.233497627
9.01,-0.226561325
9.51,-0.153161447
10.01,0.009673445
10.51,0.276578191
11.01,0.153487183
11.51,0.107480267
12.01,-0.01853903
12.51,-0.212052043
