depth_input,A07-P
13.51,-0.270285899
14.01,0.114858273
14.51,-0.03609999
15.01,-0.034391616
15.51,-0.043712735
16.01,0.104407469
16.51,0.178291591
17.01,0.187390042
17.51,0.237253348
18.01,0.421366235
18.51,0.209959776
19.01,0.111106996
19.51,0.154822486
20.01,0.05146589
20.51,0.111481437
21.01,0.221367324
21.51,-0.082805564
22.01,0.429011321
22.51,-0.03633571
23.01,-0.241567323
23.51,-0.026066452
24.01,-0.052676396
24.51,-0.002782922
25,-0.082726465
0.51,-0.748294922
1.01,-0.35056433
1.51,-0.32454202
2.01,-0.397330168
2.51,-1.181603131
3.01,0.822424195
3.51,0.196933217
4.01,-0.712392536
4.51,-0.424739898
5.01,-1.511057866
5.51,-0.588224854
6.01,-0.578730592
6.51,-0.255715755
7.01,-0.173021684
7.51,0.240180516
8.01,0.323156751
8.51,0.1543251
9.01,0.121501454
9.51,0.043312001
10.01,-0.006182601
10.51,0.299000418
11.01,0.402215711
11.51,0.179022472
12.01,0.185912999
12.51,0.338090334
13.01,0.391413352
13.51,0.110148434
14.01,0.040963043
14.51,0.099192398
15.01,-0.091060545
15.51,0.023701247
16.01,0.10036066
16.51,0.215119004
17,0.226153634
0.51,-0.16333052
1.01,-0.32667075
1.51,-0.040672468
2.01,-0.004205031
2.51,-0.160418822
3.01,-0.142435165
3.51,-0.428347112
4.01,-0.072877021
4.51,-0.203766945
5.01,-0.129782426
5.51,0.010237779
6.01,-0.080652738
6.51,-0.280275873
7.01,0.135324358
7.51,-0.173350554
8.01,-0.141898864
8.51,0.214078624
9.01,-0.2608422
9.51,-0.051894827
10.01,-0.400723609
10.51,0.225088451
11.01,-0.112923117
11.51,-0.256331474
12.01,-0.340768759
12.51,-0.302165861
13.01,0.114228528
13.51,-0.449861448
14.01,0.026967464
14.51,-0.243787789
15.01,-0.08553087
15.51,0.363592404
16.01,0.002149448
16.51,0.194307854
17.01,0.067408719
17.51,-0.124713965
18.01,0.311356514
18.51,-0.13569477
19.01,-0.349073543
19.51,-0.161846392
20.01,0.265192234
20.51,0.297945925
21,0.210177162
0.51,-0.675848136
1.01,-0.480566914
1.51,0.069431008
2.01,-0.145702368
2.51,-0.039649151
3.01,0.12405951
3.51,0.201053407
4.01,0.014973609
4.51,-0.005965555
5.01,-0.131289814
5.51,-0.02483832
6.01,-0.186118156
6.51,-0.310010824
7.01,-0.099358041
7.51,-0.22370539
8.01,-0.173649414
8.51,-0.02941204
9.01,-0.218053185
9.51,-0.333924593
10.01,-0.365730264
10.51,-0.267036704
11.01,0.099795548
11.51,0.291290056
12.01,-0.268087997
12.51,0.027509994
13.01,0.093941019
13.51,0.071407498
14.01,0.204107695
14.51,-0.180028399
15.01,0.290644689
15.51,0.581015365
16.01,0.241584429
16.51,0.469065396
17.01,0.525174993
17.51,0.541524959
18.01,0.4983147
18.51,0.50618936
19.01,0.000152977
19.51,0.549140978
20,0.027455533
0.51,0.548398193
1.01,0.53667532
1.51,0.503313689
2.01,0.655672235
2.51,0.626330787
3.01,0.83664434
3.51,0.569106395
4.01,0.517295987
4.51,0.471645666
5.01,0.339517905
5.51,0.449257521
6.01,0.468422656
6.51,0.747236173
7.01,0.335856047
7.51,0.212878214
8.01,0.146526808
8.51,0.15994526
9.01,0.12516576
9.51,0.069280202
10.01,-0.021020725
10.51,-0.026904893
11.01,0.080662944
11.51,-0.079069217
12.01,-0.115905388
12.51,-0.382133196
13.01,-0.272373093
13.51,-0.153004826
14.01,0.389223428
14.51,0.027200787
